			;	Ale	;		;Aline	;		;	Ana	;Carlos	;		;Cris	;		;		;Delmo	;		;Edson	;Harlen	;		;		;Humb	;		;		;		;Irineu	;		;	JP	;		;		;		;		;	JR	;		;		;Juli	;		;		;		;Karla	;		;Luiz	;		;		;		;		;Marcio	;	MC	;		;Graça	;		;		;		;Mario	;Peter	;		;		;		;Ricard	;		;Wagner	;		;		;		;		;Yossi	;		;
			;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
Seg21h!SA   ;	5	;	5	;	1	;	1	;	1	;	5	;	5	;	1	;	1	;	1	;	9	;	9	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	2.5	;	2.5	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	2	;	2	;	2	;	2	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	1	;	1	;	10	;	10	;	10	;	10	;	1	;	3	;	3	;	3	;	3	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
			;	5	;	5	;	1	;	1	;	1	;	5	;	5	;	1	;	1	;	1	;	9	;	9	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	2.5	;	2.5	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	2	;	2	;	2	;	2	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	1	;	1	;	10	;	10	;	10	;	10	;	1	;	3	;	3	;	3	;	3	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
			;	5	;	5	;	1	;	1	;	1	;	5	;	5	;	1	;	1	;	1	;	9	;	9	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	2.5	;	2.5	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	2	;	2	;	2	;	2	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	1	;	1	;	10	;	10	;	10	;	10	;	1	;	3	;	3	;	3	;	3	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
!SB		    ;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
Ter8h!SA	;	5	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	2	;	2	;	2	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	2	;	2	;	2	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	7	;	7	;	7	;	7	;	8	;	5	;	5	;	5	;	5	;	3	;	3	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	5	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	2	;	2	;	2	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	2	;	2	;	2	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	7	;	7	;	7	;	7	;	8	;	5	;	5	;	5	;	5	;	3	;	3	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	5	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	2	;	2	;	2	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	2	;	2	;	2	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	7	;	7	;	7	;	7	;	8	;	5	;	5	;	5	;	5	;	3	;	3	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
Ter10h!SA   ;	10	;	10	;	7	;	7	;	1	;	1	;	1	;	1	;	1	;	1	;	7	;	7	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	7	;	7	;	7	;	7	;	10	;	1	;	1	;	1	;	1	;	5	;	5	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	10	;	10	;	7	;	7	;	1	;	1	;	1	;	1	;	1	;	1	;	7	;	7	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	7	;	7	;	7	;	7	;	10	;	1	;	1	;	1	;	1	;	5	;	5	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	10	;	10	;	7	;	7	;	1	;	1	;	1	;	1	;	1	;	1	;	7	;	7	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	7	;	7	;	7	;	7	;	10	;	1	;	1	;	1	;	1	;	5	;	5	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
Ter14h!SA   ;	10	;	10	;	10	;	10	;	1	;	8	;	8	;	5	;	5	;	5	;	6	;	6	;	1	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
Ter19h!SA   ;	10	;	10	;	1	;	1	;	1	;	10	;	10	;	1	;	1	;	1	;	7	;	7	;	3	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	4.5	;	4.5	;	5	;	5	;	5	;	5	;	5	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	8	;	1	;	1	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;
			;	10	;	10	;	1	;	1	;	1	;	10	;	10	;	1	;	1	;	1	;	7	;	7	;	3	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	4.5	;	4.5	;	5	;	5	;	5	;	5	;	5	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	8	;	1	;	1	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;
			;	10	;	10	;	1	;	1	;	1	;	10	;	10	;	1	;	1	;	1	;	7	;	7	;	3	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	4.5	;	4.5	;	5	;	5	;	5	;	5	;	5	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	8	;	1	;	1	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;
Ter21h!SA   ;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	8	;	8	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	4.5	;	4.5	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	2	;	2	;	2	;	2	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	2	;	1	;	1	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	9	;	9	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	8	;	8	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	4.5	;	4.5	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	2	;	2	;	2	;	2	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	2	;	1	;	1	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	9	;	9	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	8	;	8	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	4.5	;	4.5	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	2	;	2	;	2	;	2	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	2	;	1	;	1	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	9	;	9	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
Qua8h!SA	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	1	;	1	;	4	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	1	;	1	;	5	;	5	;	5	;	5	;	5	;	10	;	8	;	8	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;
			;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	1	;	1	;	4	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	1	;	1	;	5	;	5	;	5	;	5	;	5	;	10	;	8	;	8	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;
			;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	1	;	1	;	4	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	1	;	1	;	5	;	5	;	5	;	5	;	5	;	10	;	8	;	8	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;
Qua10h!SA   ;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	10	;	10	;	10	;	1	;	1	;	5	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	3	;	3	;	3	;	3	;	3	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	3	;	3	;	7	;	7	;	7	;	7	;	7	;	10	;	8	;	8	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	10	;	10	;	10	;	1	;	1	;	5	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	3	;	3	;	3	;	3	;	3	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	3	;	3	;	7	;	7	;	7	;	7	;	7	;	10	;	8	;	8	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	10	;	10	;	10	;	1	;	1	;	5	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	3	;	3	;	3	;	3	;	3	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	3	;	3	;	7	;	7	;	7	;	7	;	7	;	10	;	8	;	8	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
!SB		    ;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	2	;	2	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	2	;	2	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
Qua19h!SA   ;	10	;	10	;	1	;	1	;	1	;	6	;	6	;	1	;	1	;	1	;	1	;	1	;	2	;	10	;	10	;	10	;	5	;	5	;	5	;	5	;	5	;	5	;	3	;	3	;	3	;	3	;	3	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	3	;	3	;	10	;	10	;	10	;	10	;	10	;	8	;	1	;	1	;	8	;	8	;	8	;	8	;	1	;	5	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	10	;	10	;	1	;	1	;	1	;	6	;	6	;	1	;	1	;	1	;	1	;	1	;	2	;	10	;	10	;	10	;	5	;	5	;	5	;	5	;	5	;	5	;	3	;	3	;	3	;	3	;	3	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	3	;	3	;	10	;	10	;	10	;	10	;	10	;	8	;	1	;	1	;	8	;	8	;	8	;	8	;	1	;	5	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	10	;	10	;	1	;	1	;	1	;	6	;	6	;	1	;	1	;	1	;	1	;	1	;	2	;	10	;	10	;	10	;	5	;	5	;	5	;	5	;	5	;	5	;	3	;	3	;	3	;	3	;	3	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	3	;	3	;	10	;	10	;	10	;	10	;	10	;	8	;	1	;	1	;	8	;	8	;	8	;	8	;	1	;	5	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
Qua21h!SA   ;	10	;	10	;	1	;	1	;	1	;	6	;	6	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	8	;	8	;	8	;	8	;	1	;	3	;	3	;	3	;	3	;	9	;	9	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	10	;	10	;	1	;	1	;	1	;	6	;	6	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	8	;	8	;	8	;	8	;	1	;	3	;	3	;	3	;	3	;	9	;	9	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	10	;	10	;	1	;	1	;	1	;	6	;	6	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	8	;	8	;	8	;	8	;	1	;	3	;	3	;	3	;	3	;	9	;	9	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
!SB		    ;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
Qui8h!SA	;	5	;	5	;	5	;	5	;	1	;	9	;	9	;	10	;	10	;	10	;	9	;	9	;	8	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	8	;	5	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	5	;	5	;	5	;	5	;	1	;	9	;	9	;	10	;	10	;	10	;	9	;	9	;	8	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	8	;	5	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
			;	5	;	5	;	5	;	5	;	1	;	9	;	9	;	10	;	10	;	10	;	9	;	9	;	8	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	8	;	5	;	5	;	5	;	5	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;
Qui19h!SA   ;	10	;	10	;	1	;	1	;	10	;	5.5	;	5.5	;	1	;	1	;	1	;	1	;	1	;	1	;	6	;	6	;	6	;	3	;	3	;	3	;	3	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	6	;	6	;	6	;	8	;	8	;	8	;	8	;	10	;	10	;	8	;	8	;	8	;	8	;	8	;	8	;	1	;	1	;	5	;	5	;	5	;	5	;	10	;	1	;	1	;	1	;	1	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
			;	10	;	10	;	1	;	1	;	10	;	5.5	;	5.5	;	1	;	1	;	1	;	1	;	1	;	1	;	6	;	6	;	6	;	3	;	3	;	3	;	3	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	6	;	6	;	6	;	8	;	8	;	8	;	8	;	10	;	10	;	8	;	8	;	8	;	8	;	8	;	8	;	1	;	1	;	5	;	5	;	5	;	5	;	10	;	1	;	1	;	1	;	1	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
			;	10	;	10	;	1	;	1	;	10	;	5.5	;	5.5	;	1	;	1	;	1	;	1	;	1	;	1	;	6	;	6	;	6	;	3	;	3	;	3	;	3	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	6	;	6	;	6	;	8	;	8	;	8	;	8	;	10	;	10	;	8	;	8	;	8	;	8	;	8	;	8	;	1	;	1	;	5	;	5	;	5	;	5	;	10	;	1	;	1	;	1	;	1	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
Sex8h!SB	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
Sex10h!SA   ;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	10	;	2	;	2	;	2	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	2	;	2	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;
